No.,会社名,郵便番号,住所,事業内容（表の左上）,業界,電話番号,設立年月日,ホームページ,事業内容,代表氏名,法人番号,資本金,上場区分,FAX番号,事業所/店舗数,事業所,従業員
1,株式会社 プロゴワス,〒891-0122,鹿児島県鹿児島市南栄３丁目１番４,BPOサービス業,"法人サービス,広告・メディア,情報・通信",099-268-6221,1960年12月1日,https://progowas.jp/,ビジネスプロセスアウトソーシングBPOとは、お客様の一連の業務プロセスを受託するサービスのことです。 BPOサービスにより、お客様は自社内で行われている業務内容や業務フローを見直し、「ヒト、モノ、コト、お金、情報」という資源を生産性の高い部分に集中させることができます。結果、業務の高品質化、効率化、コスト削減に繋がります。私たちはお客様の業務プロセスの付加価値向上を実現します。,和田　秀一郎,2340001004658,-,-,099-268-6210,2,福岡オフィス,42人（正社員40人／派遣社員数2人／契約社員数-人）
2,株式会社 ｅ３,〒542-0086,大阪府大阪市中央区西心斎橋１－１０－１２　サンハイム３０５,まつげエクステンションの製造・卸売,"生活用品,化学・医薬品,機械",06-4256-3705,2018年7月3日,https://www.e3eyelash.com,まつげエクステンションの製造まつげエクステンションに関する商品全般の卸売,土田　雅史,2120001214543,"3,000",-,06-4256-3706,-,-,-
3,株式会社 インライズ,〒541-0053,大阪府大阪市中央区本町１－３本町橋西ビル　２Ｆ,PCサーバー・ネットワーク機器、販売、構築、設計、ソフトウェア販売、回線取次、コロナ対策商品販売,"エレクトロニクス,法人サービス,情報・通信",06-6266-2560,2018年7月5日,https://www.inlize.co.jp,・PC、サーバー、ネットワーク機器、ソフトウェア販売・各種設計、構築作業・ネットワーク工事・インターネット回線取次・クラウドPBX取次・各種OA機器取扱・コロナ対策商品販売、導入,大橋　良一,1120001214610,"3,000",-,-,-,-,-
4,株式会社 ＴＳクラウド,〒386-0012,長野県上田市中央２－１０－１５　千曲錦ビル,Google Workspaceの販売代理店,-,050-1748-5071,-,https://tscloud.co.jp/,Googleが提供しているグループウェア「Google Workspace」の販売代理店を行っています。,井上　拓磨,2100001033045,-,-,-,-,-,-
5,株式会社 ウインターハート,〒284-0015,千葉県四街道市千代田２－６－８,車買取・新車値引き情報の提供なら株式会社ウインターハート斉藤良男にお任せ,-,043-421-3363,-,https://winterheart.co.jp/,株式会社ウインターハートは、ホームページ作成やインターネット広告から出発した会社です。現在では業務範囲を拡大し、国産の新型車の新車値引き情報などを提供するサイト「カーネビ」「新型車・中古車情報館」を運営するほか、インターネットオークションを利用した中古車売買も行っております。車に関することなら株式会社ウインターハート斉藤良男にお任せください。不要になった社用車も買取いたしますので、売却の際にはお声かけ下さい。,斉藤　良男,9040001106115,-,-,043-421-3363,-,-,-
6,そらみつ 株式会社,〒590-0531,大阪府泉南市岡田３－１３－１,ギリシャからエクストラバージンオリーブ油・オリーブの実。イタリアからモデナ産バルサミコ酢を輸入。,フード,072-479-6888,-,http://www.soramitu.jp/,ギリシャからエクストラバージンオリーブ油・オリーブの実。イタリアよりモデナ産バルサミコ酢を輸入しております。現地へ直接行き商品を買い付けております。味や健康面の効果だけでなく、その土地特有の使い方などの食文化を含めて商品をご提案しております。,村上　篤矢,5120101046256,"3,000",-,072-479-6888,-,東京支店：東京都千代田区有楽町１－３－６　日比谷エイセンビル６F,8人（正社員8人／派遣社員数-人／契約社員数-人）
7,合資会社 イマダコーポレーション,〒241-0002,神奈川県横浜市旭区上白根２－５２－１７,EC運営　健康食品卸・OEM受託　Webコンテンツ作成受託　ネットマーケティングコンサル,-,045-516-8411,2010年4月2日,https://imada-co.jp/,合資会社イマダコーポレーションは、2010年の設立以来、主にWebでのビジネスとサプリメントのOEM受託を2本柱として地道に事業展開しております。合資会社という法人ではありますが、事業の全般を代表の今田了介がほぼ一人で運営しているため、スピード感には欠ける反面、ひとつひとつの仕事に丁寧に誠意をもって対応しています。また、前々職では大手流通を相手に販売企画会社を経営した経験もあり、消費者目線と経営者目線を両立しながらクライアントの要望に応えることができます。イマダコーポレーションの事業に関心がございましたら、お気軽にお問い合わせください。,今田　了介,8020003006555,-,-,045-516-8411,-,-,-
8,イーマキーナ 株式会社,〒657-0833,兵庫県神戸市灘区大内通２丁目１－５,電子機器製造業,"機械,運輸,フード",078-200-5452,2018年7月2日,https://evasi.jp/,・電子機器の企画、設計、製造、組立及び販売・コンピューターシステムの開発、設計、及び販売 ・ソフトウェアの開発、設計、及び販売 ・PLC、制御盤等の開発、設計、製作及び販売・大型機械構造物の設計、製作、据付、及び販売 ・産業用機器製品の企画、設計、組立及び販売,藤井　誠,4140001110623,"8,000",-,078-200-5453,2,-,4人（正社員4人／派遣社員数-人／契約社員数-人）
9,ユナイテッドパーソン 株式会社,〒107-0062,東京都港区南青山３丁目８－２,業務用無煙ロースターの製作及び卸売業,"生活用品,エレクトロニクス,機械,フード,情報・通信",050-5359-0384,2016年9月6日,https://www.united-person.jp,ノンダクト電気式業務用無煙ロースターの製作及び卸売業。飲食店の火災のリスクが無くなり、初期費用及びランニングコストを軽減できる電気無煙ロースターの販売です。店舗用テーブルや椅子、厨房機器のご提案も行っております。その他、貿易事業や企業の営業職教育事業を行っております。,武智　佑介,7010401126989,"1,000",-,-,3,-,-
10,佐川グローバルロジスティクス 株式会社,〒140-0012,東京都品川区勝島１－１－１,国内ロジスティクス事業,運輸,03-3768-8579,2013年5月1日,http://www.sagawa-logi.com/,佐川急便を中核としたSGホールディングスグループで国内ロジスティクス事業を展開しています。全国主要都市に設置した商品の入荷、保管、検品、梱包などを行う物流センター80拠点の運営から多種多様な輸送サービスまでを展開。海外のネットワークも駆使しながら、 効率のよい最適な物流ソリューションを提案いたします。,山本　将典,8010701027960,"1,500,000",-,-,80,北海道、宮城、関東1都6県、静岡、愛知、岐阜、新潟、石川、富山、長野、京都、大阪、兵庫、岡山、広島、福岡,-
11,小丸溶接工業 株式会社,〒510-0821,三重県四日市市久保田２丁目１１番７号コンフォトール３Ｃ,基礎工事溶接一式,建設,059-329-7390,2017年4月3日,-,既製杭・鋼管杭溶接,山本　泰伸,2190001024515,"5,000",-,059-329-7391,1,-,9人（正社員9人／派遣社員数-人／契約社員数-人）
12,株式会社 ＪＮＷ,〒112-0004,東京都文京区後楽２－２－１０　松屋ビル４Ｆ,ネットワークインテグレーション,"法人サービス,情報・通信",03-6849-6115,2016年6月1日,https://www.jnw.co.jp/,高い技術力と豊富な経験をもとにビジネスのスピードや環境に最適化されたネットワーク環境をご提供します。企業の情報通信基盤となるＬＡＮからＷＡＮ、付帯するアプライアンス機器を含めたネットワーク設計・検証・構築・導入支援を行います。自社ラボで多種多様な機器の検証を実施することにより品質の向上を図っております。,堀内　和弘,1011001111206,"10,000",-,03-6633-2051,2,本社テクニカルラボトラリー,9人（正社員8人／派遣社員数0人／契約社員数1人）
13,株式会社 Ｃｏｎｔｅｎｔｓｅｒｖ,〒105-6021,東京都港区虎ノ門４－３－１城山トラストタワー２１階,商品情報の効率的な管理・活用によって顧客体験を向上します。,"広告・メディア,情報・通信",03-6823-5811,2017年10月31日,https://www.contentserv.com/jp/,Contentserv（コンテントサーブ ）は、あらゆるチャネルに対して最適化された商品コンテンツを提供し、リッチでエモーショナルな商品体験を創出するオムニチャネル商品情報プラットフォームを展開しています。商品情報管理（PIM）、デジタルアセット管理（DAM）、マスターデータ管理（MDM）、マーケティング体験管理（MXM）統合型プラットフォームによって、企業の持続的な成長とブランド価値の向上を支援します。Contentservは、89カ国の500社以上の小売業や製造業のお客様の営業、マーケティング、経営企画、製品開発、情報システム等さまざまな部門で利用されています。,-,-,-,-,-,-,-,-
14,株式会社 日本ＢＩＧネットワーク,〒101-0047,東京都千代田区内神田２－４－２一広グローバルビル９階,コンサルティング事業・未来会計の普及,"法人サービス,教育,情報・通信",03-6214-2455,2014年5月1日,http://ja-big.co.jp,1．会計事務所向けコンサルティング事業① 未来会計業務の実践講座② 未来会計実践事例研究会③ 未来会計事業化支援④ 未来会計実践事例集等の発行２．一般企業向けコンサルティング① MAS監査によるPLAN-DO-SEE経営サイクル確立支援② 事業戦略・経営計画の策定支援③ 後継者塾の企画・運営３．顧問先企業向け各種専門家の派遣・仲介事業・ 顧問先企業のニーズに対応できる専門家の派遣・仲介,岩永　經世,-,"180,000",-,03-6214-2456,-,Ja-BIGネットワーク会員 ８０事務所（２０１９年１２月）http://ja-big.co.jp/publics/index/15/,-
15,ルーメン・テクノロジーズ 株式会社,〒105-6217,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー１７階,世界に向けアダプティブネットワーク、エッジクラウド、コネクテッドセキュリティの各ソリューションを提供,情報・通信,03-6435-9658,-,https://www.lumen.com/ja-jp/home.html,Lumen Technologies（旧：CenturyLink）は、世界中に72万キロ以上のファイバーネットワークを有し、お客さまのデジタルビジネスの革新をサポートしています。4IRの本格的な到来を迎える新時代において、Lumen Technologiesは、高速かつ安全でダイナミックな接続性を実現するアダプティブ・ネットワーキングや、クラウドベースのアプリの管理・展開により迅速なビジネス対応を支援するエッジクラウドやITアジリティ、社内外のビジネスを安全に保護するコネクテッド・セキュリティなど、企業に高い競争力をもたらすプラットフォームを提供しています。,田所　博文,-,-,-,-,-,-,-
16,株式会社 ＴＥＮＰＯ,〒140-0002,東京都品川区東品川２－３－１２　シーフォートスクエアセンタービルディング９Ｆ,飲食店サポートシステム開発,-,03-4405-8902,2018年10月1日,-,主に飲食店向けのサポートシステムの開発、提供を行っております。,佐藤　健智,5010401124722,"8,000",-,-,-,-,-
17,株式会社 つばさ商会,〒660-0076,兵庫県尼崎市大島３－３－１,プラスチック製造業,"化学・医薬品,素材・材料,機械,建設",06-6417-7777,-,https://www.tsubasa-shokai.com/,プラスチックの敷板の製造,先本　一夫,3140001112661,-,-,06-6416-4444,-,-,5人（正社員5人／派遣社員数-人／契約社員数-人）
18,日榮新化 株式会社,〒578-0935,大阪府東大阪市若江東町６－１－３３,「粘着フィルム」を開発・製造・販売するコーティング技術の総合メーカーです。,"生活用品,化学・医薬品,素材・材料,機械,建設",06-6732-1150,1967年7月27日,https://www.neion.co.jp/,フィルムと粘着材を組み合わせ、多様な用途・要求に対応可能です。蓄積された長年の経験と知識でそれぞれのお客様のご？途、ニーズを的確に捉えた製品をご提案。独？のカスタマイズ技術と、？ロットにも対応可能な？産体制を備えております。----技術・製品一例----▼粘着シートの革命《マトリクス》https://www.neion.co.jp/tech/matrix.html▼多機能型ハードコートフィルム《PROCEED》https://www.neion.co.jp/tech/proceed.html,清水　寛三,2122001005492,"30,000",-,-,4,■東京本社〒101-0047東京都千代田区内神田3-14-8ニシザワビル3FTEL.03-5289-7281■大阪本社〒578-0935大阪府東大阪市若江東町6-1-33TEL.06-6732-1150■名古屋営業所〒452-0842愛知県名古屋市西区城町252番地TEL.052-505-7157■福岡営業所〒812-0042福岡県福岡市博多区豊1丁目8-20F･Kビル4号室TEL.092-409-6015※国内のみ　別途海外拠点あり,332人（正社員332人／派遣社員数-人／契約社員数-人）
19,株式会社 サイカ,〒101-0065,東京都千代田区西神田２－５－２ＴＡＳビル３Ｆ,データサイエンスに基づき、広告のPDCAをトータルサポートするADVAを提供。,"広告・メディア,情報・通信",03-6380-9897,2012年2月20日,https://xica.net/adva/,サイカの提供しているADVAは、マーケティングのPDCAすべてをデータサイエンスの技術で最適化し、ROIの最大化をサポートするサービス群です。以下の4つのサービスにより、事業成果にコミットしたテレビCM出稿を実現します。・成果の見えにくいテレビCMや交通広告などオフライン広告の成果も可視化できる国内No.1の広告効果分析ツールADVA MAGELLAN・テレビCMの成果を最大化させるプランニングサービスADVA PLANNER・データサイエンスと脳波分析を活用し、クリエイティブの制作をするADVA CREATOR・成果報酬型のテレビCM出稿サービスADVA BUYER,平尾　喜昭,5010401098297,"472,491",-,-,1,-,-
20,ＮＤ精工 株式会社,〒438-0803,静岡県磐田市富丘１４１－１,石材製品、CNC 設備の開発、設計、生産及びプロフェッショナルな技術サポートを実施。天然花崗岩に関す,"生活用品,医療・介護,機械,アパレル",0538-84-9600,2020年3月23日,http://www.nd-seiko.co.jp/,【各種測定マスターと測定ツール】　・精密ストレートエッジ　  ・精密平行ブロック　    ・精密直角定盤　・精密４直角マスター　  ・コンパレータスタンド　・精密石定盤　  ・精密Ｌ形ブロック　・精密方形ブロック【各種大型石材コンポーネント】　・グラナイトプラットフォーム　・グラナイトブリッジテーブル　・精密CNC/CMMテーブルユニット　・グラナイト製空気軸受スライド【CNC精密加工機】　　　・CNCガラス･石材 精密彫刻加工機　　・CNC非鉄金属 精密彫刻･鏡面加工機　・CNC木工用ルーター　　・レーザ加工機,宮　慶良,8080401024194,"15,000",-,0538-21-8602,1,-,5人（正社員5人／派遣社員数-人／契約社員数-人）
21,ジェイエムテクノロジー 株式会社,〒812-0027,福岡県福岡市博多区下川端町３－１リバレインオフィス９Ｆ,日本のものづくりを支援する,"エレクトロニクス,機械",092-272-4151,1995年3月1日,https://jmtech.co.jp/,国内外の半導体製造工場に、産業機械の故障修理やメンテナンスの保守・改善・安全指導など、高度な知識と技術が必要とされる装置エンジニアリングサービスを展開しています。 また、半導体製造装置部品の販売や修理、老朽化対策、保守、また、工場RPAの導入支援や製造現場向けIoT製品の提案など、幅広いサービスを提供しています。,山口　太,1290001021809,326,-,-,4,福岡本社〒812-0027 福岡市博多区下川端町3-1 リバレインオフィス9F 東京本社〒163-0726 東京都新宿区西新宿2丁目7番1号 小田急第一生命ビル26F 大阪支社〒532-0011 大阪市淀川区西中島5-3-8 リードシー新大阪ビル3F   四日市事務所〒510-0075 三重県四日市市安島1-5-10 KOSCO四日市西浦ビル7F,-
22,ユーエーシー 株式会社,〒140-0004,東京都品川区南品川２ー３ー６　第７小池ビル６階,組立てPC及び周辺機器の販売,"エレクトロニクス,機械,総合卸,情報・通信",03-5783-0052,1982年12月7日,https://uac.co.jp,組立てPC及び周辺機器の販売,佐々木　俊之,4010701010004,"20,000",-,03-5783-0058,-,-,13人（正社員13人／派遣社員数-人／契約社員数-人）
23,株式会社 ジョイント工業,〒121-0824,東京都足立区西伊興２－２－１３,電設資材及び単管パイプ用ジョイント金具　製造メーカー　販売・卸売り,"生活サービス,金属,建設,アパレル",03-3854-1111,1975年8月1日,https://www.joint-kogyo.com/,【単管ビス止めジョイントかん太】単管足場パイプ外径φ48.6mmの規格に合ったジョイント金具を各種ご用意しています。建築関係やゼネコン等のプロの方々にも愛用されおり、舞台やスタジオのセットなどにも使われています。電材においては、ジョイントフレックス（ﾌﾚｷ）、光ﾌｧｲﾊﾞｰや細線の保護管・防水のﾈｼﾞﾅｼｶｯﾌﾟﾘﾝｸﾞやｺﾈｸﾀｰ等の自社ブランド製品の卸売販売。大和電業製品の代理店販売。,森　玲,1011801008691,"31,000",-,03-3853-3011,1,-,7人（正社員7人／派遣社員数0人／契約社員数0人）
24,株式会社 ＬＬＣ,〒100-0005,東京都千代田区丸の内１－８－３丸の内トラストタワー本館　２０階,株式会社LLCは、2016年11月に設立された新進気鋭のインターネット広告代理店です。,広告・メディア,03-6821-1429,2016年11月1日,https://lovelifecommunication.com/,Google、Yahooだけでなく、Facebook、instagram、TiktokなどのSNS広告やLINE広告の運用にも長け、また国内外の数ある優良なアドネットワーク、DSPとも提携しており、ベンチャーならではのスピード感でクライアント様にとって最適な広告配信プランを提案いたします。クライアント様が頭を悩ませる不正問題にも真摯に取り組んでおり、国内最大級のアドフラウド対策ツール「Spider AF」とも提携しております。主要顧客層は零細企業～大企業で、30万円ほどの案件から1000万円以上の案件まで、幅広い案件を受け付けておりますのでお気軽にご相談ください。,廣瀬　大亮,2010401128008,"10,000",-,-,-,グーグル合同会社ヤフー株式会社LINE株式会社Facebook JapanByteDance株式会社株式会社Gunosyスマートニュース株式会社Twitter Japan 株式会社株式会社Spider Labsなど,5人（正社員5人／派遣社員数-人／契約社員数-人）
25,株式会社 和一緒,〒573-0091,大阪府枚方市菊丘町５－１,酒類の卸・小売り販売,"総合小売,フード",072-865-4158,1964年3月9日,https://www.kandaya.biz/,有名無名を問わず、味で選んだこだわりの日本酒、本格焼酎、梅酒、果実リキュールを中心に販売しております。他にクラフトジンや低価格でコスパの高いワイン国産も含むも取り扱っています。,東谷　泰至,8120001147408,"10,000",-,072-865-4158,1,-,2人（正社員2人／派遣社員数-人／契約社員数-人）
26,株式会社 福本製麺,〒604-8452,京都府京都市中京区西ノ京伯楽町２,うどんそば中華麺及び生パスタやお店に合わせた特注麺も得意としております。京風だし汁も好評です。,フード,075-461-7656,2018年8月7日,-,創業は大正９年になります。初代、福本新太郎が当地にて麺類製造業を始めて以来、美味しさと地産地消を心がけ、新太郎さんの麺は美味しいと言われる事を励みに出来る限り手造りにこだわっております。便利で高性能な製造機械はありますが、美味しさや風味などを引き出すのはやはり弊社社員の経験やこだわりにあると確信しております。弊社こだわりの京都の麺でお店の繁盛に貢献できれる様日々精進してまいります。,大西　文貴,7130001062680,"3,000",-,075-465-1518,1,-,13人（正社員5人／派遣社員数-人／契約社員数8人）
27,株式会社 天満屋商店,〒553-0005,大阪府大阪市福島区野田１丁目１番８６号　マイドプラザ１Ｆ　３６,使い手に寄り添う「ひと手間のお手伝い」を心掛ける削り節の専門店です。,フード,06-6469-7207,1951年3月26日,https://www.tenmayashouten.com/,日本の「食」を支え続ける鰹節・だしの文化を未来へ繋げること、家庭や外食産業の「美味しさ」を支え、発展させていくことだと考えています。削り加工各企業様や店舗様の味やニーズに合わせた業務用の削り節をお届けいたします。各企業様や店舗様で異なる味を、それぞれの好みをお伺いしたうえで配合しご提供いたします。少量からの加工も行っております。卸売事業鰹節類の加工業者、総合食品卸売会社様等へ、鰹節やいわゆる雑節と言われる原料の卸売販売を行っております。お客様が必要とされる原料の調達・加工目的に合わせた原料をご提供いたします。,清水　正太,7120001035794,"10,000",-,06-6469-7203,-,-,5人（正社員4人／派遣社員数-人／契約社員数1人）
28,アリオン 株式会社,〒141-0022,東京都品川区東五反田３－２０－１４住友不動産高輪パークタワー１Ｆ,第三者認証サービス,"広告・メディア,情報・通信",03-5488-7368,2002年4月1日,https://www.allion.co.jp/,企業や標準団体等の各種ロゴ認証試験、ハードウェア・ソフトウェア製品全般に関する品質保証テストおよび関連情報サービス、製品開発・品質保証に関する検証ツールの開発および販売,中山　英明,6010701015703,"96,000",-,03-5488-7369,2,本社：〒141-0022　東京都品川区東五反田三丁目20-14住友不動産高輪パークタワー1Fテストセンター：〒140-0012　東京都品川区勝島1-1-1 東京SRC　B館4階,87人（正社員60人／派遣社員数7人／契約社員数20人）
29,クールフライヤー 株式会社,〒245-0002,神奈川県横浜市泉区緑園６－４４－１４,独自特許技術による革新的揚げ調理器の製造販売,"エレクトロニクス,機械,フード",045-516-1298,2014年7月22日,https://coolfryer.co.jp/,揚げ調理は日本でも世界でも好まれていますが、油ハネやオイルミスト及び油煙、やけどや火災の危険もあり油がすぐに劣化してしまうなどの課題があります。これらは当たり前のことと見過ごされて来ましたが、当社はこれら課題を一挙に解決する技術開発に成功しました。全くと言ってよいほど油ハネせず、油の劣化を抑制し新鮮な状態に保ちます。濾過、触媒、薬剤、高周波等は不使用。シンプルな構造と加熱制御だけで、これを達成しました。2021年春の発売を目指しています。,山田　光二,3020001106881,"36,050",-,045-813-0845,-,-,0人（正社員0人／派遣社員数0人／契約社員数0人）
30,株式会社 バラの学校,〒294-0023,千葉県館山市神余４５８８ー１,食用バラの生産・食品加工・教育,"生活用品,教育,フード",0470-29-5800,2011年11月25日,https://www.baranogakkou.co.jp,食用バラ専門農家。山形・千葉・鹿児島の自社農園で無農薬無化学肥料で食用バラを露地栽培しています。小売卸売商品：ローズティー、ローズコンフィチュール、ローズジェラート、ローズスパークリングウォーター、食用バラ苗サービス：食用バラのそだてかた教室,中井　友実栄,1013201018668,"9,000",-,050-3488-7135,2,千葉本店、東京支店,-
31,株式会社 ＲｅＧＲＯＴ,〒103-0026,東京都中央区日本橋兜町１７番２号　兜町第６葉山ビル４階,宝くじ購入代行,生活サービス,03-6822-3546,-,https://chancecenter.jp/,宝くじの購入代行サービスを展開しています。西銀座チャンスセンターにて、地方在住の方や、買いに行く時間がない方のために購入を代行します！,-,3010001214108,-,-,-,-,-,-
32,ＮｅｕｒｏＴｅｃｈ 株式会社,〒150-0011,東京都渋谷区東１－２７－６ＹＭビル４Ｆ,AIテクノロジー・DX支援・webシステム受託開発・スマートフォンアプリ開発,"広告・メディア,情報・通信",03-6451-1626,2017年5月1日,https://neuro-tech.jp,▼AIソリューション業務課題をAI人工知能を活用して解決したい・分析や予測システムを構築したいといったニーズから先端技術を既存システム／サービスに取り入れたい等、多くの分野でのAIシステム化が実現可能となります。▼webシステム受託開発AI導入を見据えた大規模な業務システムからスタートアップのシステム構築までお客様課題に合わせた最適な体制で開発を承ります。当社プロフェッショナルメンバーと共に業務やサービス・事業モデルの企画や設計までカバーしております。,杉野　広和,8011001116248,"25,000",-,03-5539-4388,1,▼VietNam Labo46-48-50-52 B4 Street Sala Urban Area An Loi Dong Ward District 2 Ho Chi Minh City,7人（正社員7人／派遣社員数-人／契約社員数-人）
33,有限会社 モリモト機工,〒373-0825,群馬県太田市高林東町１７３８,建設・自動車・半導体分野などの製缶・溶接・機械加工を得意とする会社です。,"自動車・輸送用機器,金属,機械",0276-38-0858,1997年6月5日,https://morimoto-kiko.com/,群馬県太田市にある当社では、製缶・溶接加工による機械フレームや機械架台などの製作および機械加工による機械部品や治具の製作を行っています。分野は建設・自動車・半導体・農業分野など多岐にわたります。当社は単品加工を得意としておりますので、試作品など1個から承ります。量産品も対応できますので、お気軽にご相談ください。手のひらサイズの小型製缶品から4ｍ超えの大型製缶品までお客様のご要望に迅速にお応えします。,守本　直樹,2070002031299,"3,000",-,0276-38-0870,-,-,5人（正社員5人／派遣社員数-人／契約社員数-人）
34,株式会社 Ｃｒｅｐａｓ,〒248-0033,神奈川県鎌倉市腰越５－７－１９,Webメディア企画・制作・運営、SEOやSNSによる集客コンサルティング,"広告・メディア,情報・通信",0467-33-4242,2013年4月1日,https://www.crepas.co.jp/,当社ではWebメディアの企画から制作、運営まで行っています。インターネット広告による貴社サイトのマネタイズ、SEOやSNSによる集客コンサルティングまで幅広いWeb事業を行っています。その他、関東を中心に不動産賃貸事業も行っています。,牧村　和慶,8030001096894,"2,000",-,-,-,鎌倉市,-
35,株式会社 エンカラーズ,〒220-0011,神奈川県横浜市西区高島二丁目１１番２号　スカイメナー横浜５１９,カメラの販売及びレンタル,"旅行・レジャー,生活用品,法人サービス,機械",045-900-1465,2017年6月26日,https://encolors.co.jp/,株式会社エンカラーズはカメラレンタル【タビショット】を運営しております。【タビショット】とはGoPro（ゴープロ）、防水デジカメ、オズモポケット、RICOH THETAなど、旅行やイベントに最適なカメラを普段のネットショッピングのように簡単にレンタルすることができるサービスです。旅行に最適なカメラのみ取り扱っている為旅行の際に持っていくカメラを探す手間が省けます。,-,5020001133544,-,-,-,-,-,-
36,株式会社 ＣＨＯＩＣＥ,〒150-0036,東京都渋谷区南平台町２－１３　前川ビル５階,インターネットサービス事業,広告・メディア,-,2017年9月7日,https://choice-inc.co.jp/,インターネットサービス事業　1.メディア事業　2.マーケティング事業　3.コンサルティング事業　4.プロデュース事業　5.Eコマース事業　6.曙事業　など,高祖　直路,1011301023497,"10,000",-,-,1,東京都渋谷区南平台町２－１３　前川ビル５階（CHOICEオヒス）,15人（正社員3人／派遣社員数-人／契約社員数12人）
