案件名,仕事形式,報酬下限,報酬上限,文字単価,メインカテゴリー,サブカテゴリー,スポンサー,スポンサーリンク,掲載日,案件先リンク,詳細内容
新しい発電デバイス（振動発電装置）の自社商品名の募集[ネーミング・名前募集,コンペ,0,44000,0,ライティング・ネーミング,ネーミング・コピー,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582806,"【依頼概要】
環境にやさしい新しい発電デバイスのネーミングを募集します。
デバイスの特徴
弊社工場内で副次的に発生する振動からエネルギーをつくり出す環境にやさしく画期的な技術です。
磁歪材料を用いた振動発電です。
磁歪材料とは機械（伸縮）と磁気のエネルギーを電気に変換する材料です。
本技術は非常に堅牢な磁歪材料を用いることで、高効率にエネルギーを作り出すことができます。
ネーミングに求めるものは
キャッチーで分かりやすく、スマートでかっこいいものをお願いしたいです。
新技術ということもあり、斬新さも表現できていると良いです。
よろしくお願いします。"
既存PC版サイトのレスポンシブコーディング約40画面[HTML・CSSコーディング,固定報酬,100000,200000,0,Web制作・Webデザイン,ウェブサイト制作・デザイン,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582791,"【依頼の目的・背景】
7年前に作成したWebサイトのレスポンシブ化が今回の依頼背景です。
（参考）
https://self-lifting.jp/
と同程度のサイトを想定
・一部コンテンツにWordPressが実装されています。
・現状で45画面程度ありますが、ページが4-5ページ減る可能性があります。
・スマホ用のPSDを弊社にて用意します。
※画像加工が必要なページのみ作成します。全画面ではありません。
・現在、見出し等が画像ですが、テキスト化していただく予定です。


【開発の継続性】
ランサーに相談して決めたい


【対応ページ数】
TOPページ含む約40ページ


【用意してある素材】
PSD


【重視する点】
予算、クオリティ、柔軟な対応、業務経験・知識、実績評価


【希望スキル】
ランサーに相談して決めたい


【希望CMS】
ランサーに相談して決めたい


【補足説明】
設定なし"
600円/1記事/700文字程度、婚活についてのブログ記事[記事作成・ブログ記事・体験談,固定報酬,10000,20000,0.85,ライティング・ネーミング,ライティング,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582752,"【記事の分野】
生活・暮らし


【記事タイプ】
ブログ記事


【依頼詳細】
結婚相手に求める条件についてのブログ記事作成をお願いします。
見た目？年収？現代においてどんな結婚相手を選んだら良い？？婚活に励む方々に有益な情報をお願いいたします！
結婚していてもしていなくても、どんな方でもいろんな視点から書いていただけると嬉しいです！
最後は
【まとめ】をお願いします。
1記事700～800字程度
企業名は無しでお願い致します。


【文字数】
1記事あたり700 文字


【記事単価】
600 円


【記事数】
1 本


【作業範囲】
記事執筆


【画像枚数】
3 枚/記事


【画像の入手方法】
フリー素材


【作業・単価の補足】
設定なし


【参考URL】
設定なし


【作業時の注意点】
他記事からのコピーは厳禁とさせていただきます。
『です、ます』調でお願いいたします。


【補足説明】
設定なし"
ＨＲテック市場の動向調査[経営・戦略コンサルティング,固定報酬,100000,200000,0,事務・コンサル・専門職・その他,コンサルティング,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582745,"【依頼概要】
ランサーの皆様へ
今回、ＨＲテック市場の動向を理解したいと考えています。
当社でツールを作成し、市場に参入しようか考えておりますが、
その前に一旦ＨＲテック市場の動向を理解したいと考えています。
知りたい内容としては、
・ＨＲテック市場のマーケット規模
・セグメント単位の市場規模の把握（人事評価、目標管理、エンゲージメントなどの各種のツールの市場の規模、成長性などです）
・セグメント単位での、商材の単価情報（概算でも）
・その市場に対する、有効なマーケティング手段（わかる範囲で。Ｗｅｂでもリスティングがいいよ、YouTubeがいいよ、人事担当はこの辺の媒体みているよ等）
になります。納品物はパワポがありがいたいです。加工、整理しやすいようにするためです。
必要であればＷｅｂでのミーティングもお願いできればと考えています。
ご提案お待ちしております。"
建売住宅メーカーのロゴマークの制作をお願いします[ロゴ作成・デザイン,コンペ,0,41250,0,デザイン制作,ロゴ・イラスト・キャラクター,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582740,"【ロゴ表記名称】
MIRAI ARCHITECT　or　Mirai　Architect


【概要・特徴】
神奈川県横浜市の建売住宅メーカーのロゴマークの制作をお願いいたします。
シンプルで高級感のあるデザインを求めております。
https://www.livnex.jp/
https://n-organic.com/concept
https://www.creema.jp/c/atorieido


【希望ロゴ種類】
クライアントが希望するロゴデザインの種類です。いずれかの種類でご提案ください。
ワードロゴ
文字を中心にデザインしたロゴ。絵や図を含む


【希望イメージ】
+5
0
+5
シンプル
複雑
単色
カラフル
暗い
明るい
日常
高級
遊び心
厳粛
未来的
伝統的
女性的
男性的


【希望する色】
緑系、無彩色系、社名は黒字、装飾部分は緑色
【C70、M10、Y100】


【商標登録予定】
商標登録予定なし


【利用用途】
印刷
(名刺、封筒、チラシ、ステッカー、パンフレット等)
ウェブ
(ウェブサイト、バナー、フラッシュ等)
商品
(製品、キーホルダー、パッケージ、Tシャツ等)
看板
(看板、サイン等)


【納品ファイル】
高解像度JPG
(.jpg)
イラストレーター形式
(.ai)
フォトショップ形式
(.psd)
PNG形式
(.png)


【補足説明】
ロゴマークの変更に伴い、WEB・印刷物・看板等をリニューアル予定となります。
添付は代表がイメージしていたロゴデザインになります。
イメージを寄せなくても結構ですが参考にして頂けたらと思います。


【添付ファイル】
※ 締切後、添付ファイルはクライアントと当選したランサー以外は閲覧できません (
詳細
)
代表イメージ.png"
愛の無影灯[装丁・ブックデザイン,コンペ,0,55000,0,デザイン制作,CD・本,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582735,"【依頼概要】
著者は添付資料の本ようなイメージを本屋の中を見て気に入ってかってこられました
著者　　男性　有床病院　理事長兼院長　　　年齢83歳
自伝的回顧録として出版されます
字体配置　デザイン　等々はデザイナーの方のセンスに全面的にお任せします
上品で誠実な感じが出てハードカバーにも使える物でデザインお願いします


【添付ファイル】
※ 締切後、添付ファイルはクライアントと当選したランサー以外は閲覧できません (
詳細
)
IMG_6484.JPG"
医療機関専門コンサルティング会社小冊子誘導用チラシ作成[チラシ作成・フライヤー・ビラデザイン,コンペ,0,38500,0,デザイン制作,印刷物・DTP・その他,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582741,"【概要・特徴】
弊社は医療機関（クリニック）専門の経営コンサルティング会社です。
弊社からの郵送物に同封する、小冊子ダウンロードへの誘導チラシの作成をお願いしたく存じます。


【依頼詳細】
・内容は添付のラフ原稿を元に作成をお願いします。
・デザインは弊社HPを参考にお願いします。
弊社HP：
https://www.credo-m.co.jp/


【記載項目】
添付のラフに基づいた内容にて作成をお願いします。


【サイズ】
A4


【ページ数】
片面


【希望イメージ】
+5
0
+5
シンプル
複雑
単色
カラフル
暗い
明るい
日常
高級
遊び心
厳粛
未来的
伝統的
女性的
男性的


【希望する色】
青系、水色系


【納品ファイル】
イラストレーター形式
(.ai)


【補足説明】
印刷用のPDFデータ（プリントパックでの印刷を想定）も合わせてご提出ください。"
システム開発会社のロゴ作成[ロゴ作成・デザイン,コンペ,0,27500,0,デザイン制作,ロゴ・イラスト・キャラクター,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582731,"【ロゴ表記名称】
添付資料をご覧ください。


【概要・特徴】
先端技術（クラウド、ビッグデータ、AI、IoT）を活用したビジネス。
位置情報システム
クラウドサービス導入＆運営
WEBアプリケーション開発
など
価値あるサービスを提供しDX（デジタルトランスフォーメーション）を推進していく


【希望ロゴ種類】
クライアントが希望するロゴデザインの種類です。いずれかの種類でご提案ください。
ワードロゴ
文字を中心にデザインしたロゴ。絵や図を含む
抽象ロゴ
企業・サービスの理念等を抽象的に表現したロゴ
頭文字ロゴ
名前の頭文字や名称の一部をデザインしたロゴ


【希望イメージ】
+5
0
+5
シンプル
複雑
単色
カラフル
暗い
明るい
日常
高級
遊び心
厳粛
未来的
伝統的
女性的
男性的


【希望する色】
青系


【商標登録予定】
商標登録予定なし


【利用用途】
印刷
(名刺、封筒、チラシ、ステッカー、パンフレット等)
ウェブ
(ウェブサイト、バナー、フラッシュ等)
商品
(製品、キーホルダー、パッケージ、Tシャツ等)


【納品ファイル】
設定なし


【補足説明】
名刺でも使用します。


【添付ファイル】
※ 締切後、添付ファイルはクライアントと当選したランサー以外は閲覧できません (
詳細
)
ロゴ参考.xlsx"
企業にVRを導入してもらうパンフレット作成[カタログ・パンフレットデザイン・作成,固定報酬,100000,200000,0,デザイン制作,印刷物・DTP・その他,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582730,"【依頼概要】
VRをつかった企業紹介、新人研修のコンテンツを導入する企業に配布するパンフレットの作成です。
１P. 表紙
２P. VRのメリット
３P. 助成金が使えます
４P. 導入事例の紹介（面接、クレーム対応など）
５P. 導入事例（美容、エステ業界）
６P. 導入事例（飲食店）
７P. 導入事例（サービス、接客業）
８P. 裏表紙
で構成を考えています。
細かな部分は決まっておりませんので、聞き取りをしていただきながら
作成をしていただける方を探しております。
参考サイト、弊社サイトから情報を読み取っていただき
支援してくださる方にお願いしたいと考えております。
https://ryd-vr.jp/
https://ryd-vr.jp/opt-in/
http://ryd.jp/realizevr/
今回のパンフレットは、福祉事業所向けではなく、一般企業向けです。
上記のURLは福祉事業所向けになっているので、お間違えないようお願いいたします。
作成していただいたパンフレットのデータを今-ディングして以下のサイトにもアップしたいと考えております。
https://ryd-vr.jp/
コーディング業務なども併せてしていただける方だと有難いので別途相談させてください。"
【パーソナルジムチラシデザイン】3000円[チラシ作成・フライヤー・ビラデザイン,固定報酬,0,5000,0,デザイン制作,印刷物・DTP・その他,ランサーズ,https://www.lancers.jp/,2021-04-27,https://www.lancers.jp/work/detail/3582728,"【依頼概要】
■ 依頼の目的/概要
大阪のパーソナルジムのチラシ
■ デザインへの要望
思わずパーソナルジムに通いたくなる目を引くデザインをお願いします。
■ 納品ファイルの希望
高解像度JPG形式/イラストレーター形式/フォトショップ形式のいづれか
■ 利用用途
チラシ
SNSでの利用もする可能性もあります。"
