案件名,仕事形式,報酬下限,報酬上限,文字単価,メインカテゴリー,サブカテゴリー,スポンサー,スポンサーリンク,掲載日,案件先リンク,詳細内容
"【初心者でも大丈夫です、簡単、高単価】15分で2,800円！スマホでお部屋紹介の動画撮影、女性一人暮らしの方",固定報酬,2800,2800,0,デザイン・写真・動画,その他デザイン・写真・動画,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/318672?list=odd,"仕事内容
 
【 概要 】
YouTubeで
お部屋（部屋全体・インテリア・雑貨など）
紹介の動画を制作しています。
→ これから1人暮らしをする方のインテリアなどの参考となったり、
夢に向かっている頑張っている方のリアルな部屋の紹介・共感できる動画を目指しています。


【 依頼内容 】
１．自分のお部屋を
スマホで「ゆっくりと撮影（アップを含んで）」
するだけです
→撮影方法はこちらからご連絡させて頂きます
（顔だしなしで、首より下の撮影をお願いします）
２．撮影の際、みんなに教えたいお部屋のこだわりポイント・エピソード（インテリア・コスメ・雑貨・
趣味などでOK）を話ながら撮影して頂く
※特に
収納については熱く語って下さい！
（みんなの参考になります）

※基本はたったこの２つです！
長い文章を書かなくとも、お部屋の紹介をお手持ちのスマホで撮るだけなので簡単です。
家の外観など個人を特定する絵は必要ありません！
部屋が片付いてなくとも全然OKです


【動画の長さ】
15分以上30分未満

【 納期 】
1週間程度

【 報酬 】
１本2,800円


【 応募条件・重視する点 】
・15歳～30歳までの女性（17歳以下はお母様の撮影でもOKです）
・良好なコミュニケーションをしっかりとれる方
・スマホ、デジカメでお部屋の撮影が可能な方
・日本在住の方でお願いします


【 応募方法 】
下記、記入の上ご応募ください。
1.あなたの年齢を教えてください
〇〇歳

2．自分の部屋にタイトルをつけたら？

3.以下のキーワードよりあなたが当てはまる言葉を全部選んでください
　（なければ一言でいいので特徴を書いて下さい）

　→

　■選択キーワード
　ワンルーム・1K・1LDK・一軒家・一人暮らし・大学生・主婦・新卒・OL
　・都内・田舎・無職・
　貧乏・シンプル・実家・同棲・オタク・専門学校生・1LDK・2LDK・
　おしゃれ・ミニマリスト・かわいい・北欧・8畳・7畳・6畳

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝

お仕事をご希望の方は、上記ご質問の回答をお送りください。
みなさんのご応募お待ちしております！

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝

※納品物の著作権に関しては当方に帰属いたします
※応募いただいた時点で、上記条件及び著作権帰属に関しての許諾していると判断いたします
※インターネット上の画像をご提出するのはお控えください
※こちらにご提出していただいた映像は他社に提供しないことをお約束願います
ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー
■連絡について
ご応募からお仕事の質問、
納品までは「連絡ボード」
にて行います
納品時のみ「外部連絡ツール」
を利用致しますので宜しくお願い致します。

※納品物の著作権に関してはお支払いが完了した時点で当方に帰属いたします
※インターネット上の画像をご提出するのはお控えください
※こちらにご提出していただいた映像は他社に提供しないことをお約束願います
 
 
 
 "
"【3日間限定！】簡単5分！婚約指輪・結婚指輪の""動画付き""クチコミ投稿",タスク,500,500,1.7,ライティング,クチコミ・レビュー・体験談,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/318698?list=odd,"仕事内容
 
婚約指輪・結婚指輪に関する""動画付き""クチコミを大募集♪

これから婚約指輪・結婚指輪を買うカップルに役立つ【クチコミ情報】を
指輪選びの決め手が見つかるクチコミサイト「Ringraph(リングラフ)」に動画付きでご投稿ください。
https://ringraph.weddingpark.net

婚約指輪・結婚指輪それぞれでの投稿大歓迎です！


【所要時間】
5分程度


【概要】
購入済みの婚約指輪または結婚指輪に関するクチコミ
※必ず写真と動画をアップロードしてください。
※試着に関するクチコミや動画のついていないクチコミは無効です。

投稿されたクチコミは、「Ringraph(リングラフ)」に掲載されます。


【手順】

１．下記ページにて会員登録またはログインをしてください
https://ringraph.weddingpark.net/

２．下記ページからクチコミを投稿してください
https://ringraph.weddingpark.net/contribute

３．本画面の「作業開始」ボタンを押し、「ニックネーム」「メールアドレス」「ブランド」「指輪タイプ」を書き込んでください

４．内容の確認が終わり次第、クチコミ投稿は完了です！


【承認条件】
・過去5年以内に購入した指輪に関する内容であること
・ブランドが明らかなもの
・ご本人の指輪に関する内容であること
・購入済みの婚約指輪または結婚指輪であること
・動画がアップロードされていること

▽投稿写真／動画に関して
-最低1枚ずつ
-写真だけではなく動画もご投稿ください
<OK例>
・指にはめた指輪の写真、動画
・指輪のみの写真、動画
<NG例>
・指輪が写っていない又は指輪が見えにくいもの
・複数の指輪が写っており、どの指輪が対象なのか判断できないもの
・画像、動画のクオリティが低いもの（明らかにピンボケ、逆光・色味が暗い、画質が粗いなど）
・顔の認識ができてしまうもの（「目と鼻」もしくは、「鼻と口」が認識できるもの）
・個人を特定できる情報が写っているもの
・価格が判断できる情報が写っているもの（ショーケース内の値札が写っている場合も含む）
・画像、動画に文字入れ加工がされているもの
・著作権・肖像権侵害等、法令や第三者権利を侵害するもの
・その他、弊社にて掲載に不適切と思われるもの


【注意点・禁止事項】
・シュフティ経由で投稿された場合、他のキャンペーンは対象外となります。
・以前募集していた「ウエディングパークの婚約指輪・結婚指輪の新サービス」への事前クチコミを頂いた方、その他別サイト経由で既にご投稿いただいている方は、重複となるため非承認とさせていただきます。
・婚約指輪・結婚指輪以外の指輪に関する投稿はご遠慮ください。
・同じ指輪に対する複数投稿はご遠慮ください。
・クチコミは各項目100文字以上を必須としております。（合計300文字）
・投稿はお一人につき婚約指輪、結婚指輪それぞれ１回までとさせていただきます。
・特別な割引サービスに関する記載を含んだ投稿はご遠慮ください。
・入力項目に不備がある場合はNGとさせていただきます。
・あきらかな誤字脱字などは修正させていただく可能性がございます。
・作業の内容を第三者に漏洩することは禁止されています。
・契約成立した内容の二次使用は禁止されています。
また、下記のような内容は禁止させていただいておりますので、ご注意ください。
・事実と異なる、もしくは異なるおそれのある投稿
・誹謗中傷・名誉毀損につながる表現、断定的な批判をふくむ投稿
・他人の権利を侵害するおそれのある投稿
・他人になりすましての投稿
・法令違反・公序良俗に反する投稿


何かご質問などありましたら、お気軽にご連絡ください。
たくさんの方からの応募をお待ちしております！
 
■テーマ
 
恋愛・結婚
 
 
 "
WEBサイトデザイン（CSSも一緒ならなお良）,固定報酬,50000,50000,0,Web制作・Webデザイン・開発,Webデザイン,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/317781?list=odd,"仕事内容
 
▼ご依頼理由
4月上旬開始予定のWEBサイトリニューアルに伴うデザインを依頼したい
⇒現在リニューアル検討のためイメージ等を決めています。

その際に予算組のため、デザイナーの選定をするために事前募集です。
ポートフォリオや、実績サイトURLと、その時の金額・スケジュールを教えてください。
会議を通して決定後、正式依頼します。

▼納品物の利用目的
WEBサイトリニューアルの際のデザインとして利用
（CSSとHTMLを一緒に作ってくれるならなお嬉しいです。金額提示お願いします）

▼依頼内容・ターゲット
支援サイト、若年者および保護者が対象のレスポンシブデザイン

▼希望イメージ
予算により異なると考えるため、制作実績と金額を知りたい
色：暖色系・柔らかい色
イメージ：信頼、安心、優しさ

▼参考にしてほしいURL
ご連絡いただきましたらお伝えします。

▼ページ数
TOPページおよび下層ページの１パターン、予算により1案か2案かになる予定
（テーブルや画像配置等を盛り込んでイメージさせてほしい）
※レスポンシブデザインになるので、考慮を。

▼依頼する作業
決定したメニューや構成等の希望を伝えます
↓（～1週間）
大まかなデザインを（予算により）１案か２案ください
↓（～1週間）
微調整・決定後正式納品
※CSSも出来るなら一緒にお願いしたい・・・

▼大きさ、解像度など
1920×1080と1366×768など一般的な形で、スマホ375×667くらい？

▼納品ファイル
ai形式とPNG形式でデータ納品

▼発注後の連絡ツール
シュフティの連絡ボードを基本としています。

▼その他特記事項

 
 
 
 "
[保護者の方対象]  小学生4-6年生のオンライン授業のモニタリング,固定報酬,10000,10000,0,シュフティ外出,座談会・インタビュー,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/318609?list=odd,"仕事内容
 
▼弊社の事業内容
小学生ー中学生のお子さま対象の、オンラインライブ授業のマーケットプレイスを立ち上げております。

▼ご依頼理由
小学4-6年生の保護者の方対象。お子さまにオンライン授業を無料で受けていただき、お子さまの様子や保護者目線での感想をインタビューさせてください。

▼調査結果の利用目的
保護者の方視点での、お子様対象のオンラインレッスンについてのヒアリング

▼作業内容
既存の小学生対象のオンライン授業を弊社が提示するものの中から選んでいただき、お子様に受講していただきます。
受講後に、保護者の方に1時間のヒアリングをさせていただきます。

所要時間は、受講への準備（授業選び、PCの環境設定など)に30分、オンライン授業に60分、ヒアリングに60分です。受講後の60分ヒアリングの終了をもって、納品とさせていただきます。

選択していただける授業の例は下記の通りです。お子さまの興味のある授業を選んでいただけます。

・手で考える幾何学の世界: 正五角形は描けるか（算数）
・音声翻訳プログラムを作ろう！（プログラミング）
・大人が聞きこむプレゼン能力が60分で身につく！（発表）
・プロフィールクイズを作ろう！（作文）
・スマホでも可！！写真を撮るのが楽しくなる撮影講座（写真）
・未経験者も大歓迎！　一緒に楽しく踊りましょう！（ダンス）
・科学の力で見えないものを見る（理科）
・SNSで安全に友達を作ってみる（ネットの安全）

オンライン授業の予約は、弊社が提示したクラスの中から一つ選んでいただいたものを、弊社が予約の手続きを致します。Zoomのリンクを送信いたしますので、クリックしていただければレッスンを受講していただけます。
受講料は弊社が負担いたします。建て替えの必要はございません。授業の予約時にお子様のお名前を教えていただきます。オンライン授業はすでにオンラインで経験豊富に教えている方の授業をとっていただきております。

モニターサービスへの会員登録等はございません。

▼場所
オンライン

▼納期
4/25

▼所要時間
150分
所要時間は、受講への準備（授業選び、PCの環境設定など)に30分、オンライン授業に60分、ヒアリングに60分です。

▼費用について
選択していただいたオンラインレッスンの受講料など、ヒアリングにかかる費用は全て弊社負担です。

▼発注後の連絡ツール
LINE

▼納品物の使用目的
ヒアリングで得た知見を元に、サービスの質の向上を目的としています。
 
 
 
 "
CDやフライヤーのデザイン,固定報酬,18000,18000,0,デザイン・写真・動画,その他デザイン・写真・動画,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/318736?list=odd,"仕事内容
 
▼ご依頼理由
今まで依頼していたデザイナーさんが副業禁止になってしまったため

▼依頼内容
インディーズアーティストのCDジャケやフライヤー・ポスターなど
物により料金は変わります。
写真などの素材はこちらで基本用意いたしますが、装飾系のものはデザインとして
お任せしております。
※当募集では８PモノのドラマCDジャケットから

▼分量
定期的に案件は出ます

▼納品ファイル
ai　場合によってはPDFで可能なものもあり

▼発注後の連絡ツール
Chatworkやメールなど、LINEでも可能です

▼その他特記事項
定期的に案件は出ますので、格安でやっていただける方を募集しております。

ご応募時にDMで作品例のリンクがあればお願いいたします。

提示価格の中でクオリティと金額を併せてご依頼させて頂ければと思います。

■目安金額
フライヤー・ポスター
4～6000円
CD（シングル）
9000円
CDアルバム
18000円

※文字校正が最初に来た歌詞などから、大体2～3回くらい修正がございます。


 
 
 
 "
【謝礼あり】小学生のお母様！『習い事』についてオンラインインタビューさせてください,固定報酬,3000,3000,0,営業・カスタマーサポート・リサーチ,ユーザーインタビュー・ユーザーテスト,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/318726?list=odd,"仕事内容
 
小学生向けの教育事業の立ち上げを検討しており、インタビューにご協力ください！

【対象】
① 現在
小学3年生～6年生
のお子様がいらっしゃるお母様。
② 子どもの
習い事が続かない
、または
習い事に行っているがやる気が感じられない
という不満・不安を持っている。
③ ②の悩みについて
解決方法が見つかっておらず困っている
。
※①②③にすべてに当てはまる方のみご応募ください

【インタビューしたい内容】
・年齢、家族構成、職業などの基本情報
・習い事や子育てについての悩み、考え方

【インタビューツール】
・Zoomでのビデオ通話
※しっかりとお話を伺うために顔出しでのビデオ通話とさせていただきます。
※お子様の同席は必要ありません。
※シュフティ上での発注操作を済ませてからZoomへと移行させていただきます。

【所要時間】
約50分（ご都合の合う曜日・時間で調整させていただきます）

【謝礼】
¥3,000（手数料・消費税込み）

【自己紹介】
・広島県出身、千葉県在住の27歳既婚男性サラリーマン
・趣味は読書、芸術鑑賞、筋トレ、ラーメン屋巡り
◎小学生向けオンライン塾の立ち上げ準備中
→自分自身がやる気のない(好きだと感じない)習い事を惰性で続けて自己肯定感の低い青春時代を送ってしまった後悔から、人と比べず自己肯定感を持って生きていける子どもを増やしたいと考えています。

【個人情報の取り扱いについて】
・伺った情報は細心の注意をはかり管理致します。
・契約締結後も偽装等の不正が発覚した場合は報酬のお支払いは致しかねます。
・インタビュー内容は事業立ち上げの参考にする以外の用途では利用いたしません。


諸々書かせていただきましたが、「協力してやってもいいかも」と思ってくださる方がいらっしゃれば、気負わずご連絡いただけると嬉しいです！あくまで
楽しく会話
する中で色々お聞きできればと思っています！
何卒ご協力よろしくお願いいたします！



#教育 #塾 #オンライン塾 #インタビュー #謝礼あり #報酬あり #小学生 #習い事 #ママ #子育て #起業 #起業準備中
 
 
 
 "
[小学生4-6年生 保護者の方対象]オンラインサービスの印象をお聞かせください。,固定報酬,2500,2500,0,営業・カスタマーサポート・リサーチ,モニター・調査・リサーチ,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/318770?list=odd,"仕事内容
 
▼ご依頼理由
弊社は小学生高学年のお子様のいる家庭向けに、お子様が「楽しい」と思えるオンラインレッスンを見つけることのできるウェブサービスを立ち上げております。
ウェブサービスを見て、保護者の方やお子様がどういった印象を受けるのかを率直にお聞きしたく、ご依頼をしております。

▼納品物の利用目的
弊社提供サービスの品質改善
保護者の方視点での、お子様対象のオンラインレッスンについてのヒアリング

▼作業内容
ZOOMにて45分間のオンラインヒアリングをさせていただきます。弊社のオンラインサービスを見ながら、質問に答えていただきます。

ヒアリング終了をもって、納品完了といたします。

▼場所
オンライン

▼納期
4/25

▼所要時間
45分

▼発注後の連絡ツール
シュフティのメッセージ機能で連絡を取っていただきます。

よろしくお願いいたいます。
 
 
 
 "
【商品一か月分+500円】健康食品（サプリメント）のモニター募集,固定報酬,500,500,0,営業・カスタマーサポート・リサーチ,モニター・調査・リサーチ,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/314434?list=odd,"仕事内容
 
▼概要
新商品発売に向けて、既存商品の感想を教えていただける方を募集致します。

▼内容
弊社で販売しているユーグレナ配合のサプリメントをお試し頂き、簡単な感想を書いて頂くお仕事になります。（100字程度で、身体に感じた変化等を書いてください）
※一か月分全て飲んでいただかなくても構いません。

▼仕事の流れ
契約後、レターパック等で弊社からワーカー様宅へサンプル一か月分をお送り致します。
※商品代金・送料は弊社負担となります。モニター様にお支払いいただくものはございません。
※発送先のご共有のみお願い致します。

その後、3日～一か月程度お試しいただき、感想をシュフティのメッセージ欄でお送りいただきます。
※必ずしも一か月お試しいただく必要はございません。

▼報酬
500円
お送りするサプリメントは返品等していただく必要はございません。ご自由にお試しください。


★応募条件
・商品モニターのお仕事を責任を持って最後まで取り組んでいただける方
・本件で得た情報の秘密保持を守っていただける方
・Twitterかチャットワークの利用が可能な方（契約後、コミュニケーションに使うだけですので新規アカウントや捨てアカウントでも構いません）

★その他
外部連絡ツールの利用は、シュフティ上での発注操作を済ませてから行います。
モニターサービスへの会員登録は必要ありません。

たくさんのご応募、お待ちしております！
 
 
 
 
2021/02/10 00:48:42 追記
 
2/10以降のご応募に関しては、チャットワークでのコミュニケーションが取れる方のみに限定させていただきます。

 
2021/03/09 16:05:51 追記
 
Chatwarkへの登録が済んでいない方であれば、事前にご登録をお願い致します。
 
2021/03/15 13:42:40 追記
 
記載されている募集予定人数はすでに超えていますが、引き続きワーカー様を募集しております。
基本的に要件を満たしている方であれば発注させていただく予定です。
 
 "
【在宅】【簡単】ヤフオク経験者求ム！転載作業1６,固定報酬,600,600,0,データ入力・商品登録,データ収集・分類,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/318275?list=odd,"仕事内容
 
▼ご依頼理由
ヤフーオークション（クライアントアカウント）への出品の為

▼お仕事ご依頼背景詳細
▼データの利用目的
ECサイトを運営しております。
そちらの商品をヤフーオークション（クライアントアカウント）への転載をお願いしたいと思います


▼お仕事作業内容詳細
▼作業手順
対象の商品を検索
対象商品をコピペ 
コピペ項目数：タイトル、商品説明
登録画像枚数：５枚以内
画像加工枚数：なし

▼予定件数
１商品30円/ ユーザー対応１件20円 / 販売報告１件10円（スプレッドシートでのデータ作成を予定しております
項目数：５（全てコピペです））

２０商品
（月固定で２００ー１０００商品ほど依頼したいと考えています。とりあえず2０商品依頼したいと思います）

基本上限はないので好きな時間に好きな量だけやっていただけます

▼商品のジャンルやカテゴリー
衣類

▼募集条件
ヤフオクを使ったことがある方のみとさせてください

・テスト・トライアル内容
・依頼期間：１ヶ月
・依頼本数：20本
・設定単価：600円

発注後の連絡は外部連絡ツールを使用して連絡をとります
 
 
 
添付ファイル
 
出品マニュアル  シュフティ様用３.pdf
 "
初心者大歓迎】ママさん・専業主婦さん大歓迎！スマホのみ完全在宅勤務可能☆商品登録,固定報酬,50,250,0,データ入力・商品登録,商品登録,シュフティ,https://app.shufti.jp/,2021-04-21,https://app.shufti.jp/jobs/view/318565?list=odd,"仕事内容
 
ご覧いただき、ありがとうございます。

アプリやサイトで

主にアパレルや雑貨等を販売しております。

今回一緒に作業して頂ける方を募集しております^ ^

スマホ1台あればほぼ完結し誰でも簡単にできるお仕事になります。



作業は1日1時間程度

お好きな時間に在宅で作業が可能です！


★専業主婦の方、子育て中の方大歓迎

★完全在宅勤務可能

★スマホやタブレットのみでお仕事可能

★マニュアルがございますので初心者の方でも

 簡単にお仕事できます。

★作業中にわからないことなどが有ればサポートもさせていただきます。




【お仕事内容】

●商品登録

出品して頂く商品の画像や紹介文はこちらで準備しております。

使用いただくアカウントはこちらで準備いたします。


サイトにログインしていただき、
各項目をコピペしていただくだけです。

☆1件あたりの作業項目数5つ
（商品名・商品サイズ・素材・商品説明文・画像添付）

☆1日あたり5件ほど登録して頂きます。
24時間以内にお願いします。

商品登録1件30円

●登録画像について

商品によって異なりますが、商品画像は4〜6枚程度です。

トップ画像のみ商品名等を載せて加工をお願いします。



以上で「商品登録」は完了です。



●販売報告

商品が売れましたら、どの商品が売れたのかをLINEグループにて報告して頂きます。※1


以上で「販売報告」は完了です。



商品の登録作業は1件5分ほど、売上報告も5分ほどで完了します。

在庫管理・梱包・発送等はございません。

販売報告1件20円

※1
外部ツールの利用は、シュフテイ上での発注操作を済ませてから行います。

※依頼件数に満たない場合も、作業件数分の報酬をお支払いします。

☆まずは5件トライアルをお願い致します。



【報酬】

1案件5000円〜(100件分)

※研修期間あり

※昇給あり

※対応数に応じて報酬も増えます

※別途ボーナス支給

※今回の予算(1〜5万)については継続して頂ける方の平均的な月収です。




【必須条件】

・女性(男性不可)

・毎日お仕事出来る方

・スマホやタブレットをお持ちの方

・こまめに連絡が取れる方

・コツコツ継続的にお仕事出来る方

・稼ぎたいというやる気がある方

・個人情報に関わる仕事なので情報漏洩など

しない方。第三者に漏洩させない方。


【応募方法】

①ご年齢（～代）

②現在のお住まい（～県）

③ご職業

④在宅ワークのご経験
（商品登録のご経験の有無）

⑤フリマアプリのご使用の有無

⑥1日の可能作業時間


沢山のご応募をお待ちしております^ ^


最後までご覧いただき、ありがとうございます。お気軽にお問い合わせください♪
 
 
 
 "
